"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"130100 CARAUARI";"102,68";"89,70";"35,84";"44,36";"59,46";"65,39";"61,66";"69,64";"44,00";"61,59";"59,60";"70,39";"73,47";"57,53";"71,94";"62,61";"56,31";"57,15";"42,34";"59,81";"52,69";"15,62";"30,22";"42,32";"46,93";"69,45";"64,18"
"130110 CAREIRO";"68,88";"30,87";"58,02";"69,41";"72,51";"79,91";"85,29";"76,72";"38,38";"74,27";"74,92";"88,48";"92,29";"62,61";"102,20";"72,66";"65,18";"73,94";"32,06";"75,64";"43,66";"13,18";"45,46";"40,63";"84,94";"62,06";"65,47"
"130115 CAREIRO DA VARZEA";"73,73";"35,10";"63,72";"66,92";"75,48";"122,27";"111,92";"97,89";"34,12";"91,92";"92,35";"118,84";"123,12";"114,04";"152,83";"97,55";"91,53";"90,51";"26,98";"112,90";"53,70";"13,30";"98,57";"75,87";"111,36";"79,68";"81,77"
"130120 COARI";"92,48";"77,89";"41,90";"42,51";"61,93";"60,13";"58,92";"76,92";"35,33";"62,38";"56,30";"63,51";"66,07";"49,74";"70,23";"55,54";"49,26";"63,44";"29,37";"54,51";"43,99";"18,21";"48,73";"41,48";"55,85";"66,00";"62,43"
"130130 CODAJAS";"106,24";"66,52";"43,03";"48,94";"62,99";"74,42";"60,14";"75,36";"53,68";"63,30";"66,19";"77,14";"79,15";"78,32";"79,61";"63,52";"62,75";"62,57";"31,11";"75,38";"64,30";"10,65";"54,39";"49,73";"50,69";"66,57";"65,40"
"130140 EIRUNEPE";"92,60";"60,47";"30,54";"36,55";"50,47";"46,72";"54,32";"61,64";"28,31";"53,69";"49,74";"50,68";"50,77";"41,05";"68,67";"49,26";"44,87";"50,99";"29,77";"46,28";"48,76";"9,46";"37,20";"33,19";"44,89";"61,51";"55,48"
"130150 ENVIRA";"95,13";"82,90";"45,81";"51,11";"67,10";"71,89";"75,63";"85,71";"38,20";"66,45";"63,34";"68,88";"81,17";"77,45";"73,70";"56,79";"49,78";"65,16";"36,03";"74,27";"64,74";"15,12";"68,83";"44,49";"57,82";"58,60";"62,69"
"130160 FONTE BOA";"76,02";"58,02";"35,25";"42,23";"52,42";"61,25";"53,34";"65,35";"44,33";"59,30";"52,25";"61,47";"63,72";"64,05";"70,13";"50,57";"42,83";"48,39";"27,71";"61,61";"35,43";"14,22";"32,35";"26,09";"46,34";"49,22";"50,93"
"130165 GUAJARA";"58,40";"17,91";"37,72";"34,70";"58,86";"78,51";"55,82";"75,04";"43,03";"54,03";"59,32";"65,49";"68,06";"52,80";"53,96";"50,83";"43,50";"58,79";"32,18";"53,58";"58,17";"13,89";"27,84";"32,59";"42,78";"51,84";"51,77"
"130170 HUMAITA";"112,62";"83,52";"50,29";"57,00";"80,55";"76,57";"74,89";"90,41";"69,82";"91,80";"76,38";"93,47";"92,67";"79,27";"99,56";"75,33";"64,68";"79,78";"45,44";"79,63";"81,17";"27,13";"45,26";"52,79";"69,63";"68,49";"74,24"
"130180 IPIXUNA";"78,33";"47,85";"24,55";"33,71";"50,23";"52,26";"51,93";"55,14";"23,09";"61,53";"50,22";"53,20";"50,86";"52,73";"62,92";"44,08";"40,36";"46,59";"19,48";"58,46";"52,07";"12,51";"31,49";"26,88";"41,48";"61,20";"53,85"
"130185 IRANDUBA";"56,93";"26,47";"57,07";"61,88";"74,26";"83,16";"81,28";"83,52";"55,69";"71,76";"66,34";"91,52";"87,50";"79,83";"85,49";"67,09";"57,42";"74,57";"42,47";"84,98";"48,37";"8,92";"46,89";"41,43";"70,37";"73,33";"69,77"
"130190 ITACOATIARA";"108,68";"75,77";"53,85";"51,14";"82,29";"74,28";"72,39";"87,31";"51,66";"88,19";"57,91";"69,51";"74,36";"69,83";"94,91";"53,92";"50,11";"82,96";"34,72";"73,30";"63,47";"22,88";"45,07";"37,31";"75,51";"77,52";"75,05"
"130195 ITAMARATI";"97,27";"54,81";"32,16";"52,11";"49,31";"52,11";"68,53";"62,65";"23,65";"63,42";"62,10";"72,02";"77,65";"60,09";"85,03";"43,16";"40,53";"54,99";"45,93";"62,81";"60,93";"18,58";"21,55";"27,27";"61,50";"61,18";"59,37"
"130200 ITAPIRANGA";"100,35";"64,83";"60,95";"66,20";"88,56";"93,68";"94,04";"109,97";"77,95";"82,65";"81,16";"105,92";"108,03";"95,99";"97,57";"74,01";"64,50";"86,38";"56,97";"101,77";"79,99";"19,00";"63,10";"57,15";"77,78";"81,21";"82,55"
"130210 JAPURA";"64,98";"59,69";"51,76";"64,49";"69,38";"87,32";"89,34";"75,02";"55,56";"69,34";"75,36";"90,63";"85,30";"90,95";"92,40";"90,47";"80,48";"69,01";"34,81";"91,11";"33,98";"8,73";"43,13";"40,96";"81,02";"53,82";"61,29"
"130220 JURUA";"119,21";"62,16";"35,58";"53,54";"72,37";"66,63";"75,64";"104,43";"20,62";"77,48";"54,99";"72,24";"76,68";"49,74";"98,69";"43,96";"42,83";"74,72";"19,10";"58,43";"99,35";"15,18";"39,62";"44,02";"64,03";"80,77";"73,85"
"130230 JUTAI";"95,56";"22,30";"29,22";"40,56";"47,58";"47,53";"44,96";"54,07";"27,39";"64,23";"37,34";"41,96";"44,01";"38,79";"77,76";"41,72";"39,30";"47,28";"22,38";"39,82";"57,61";"13,48";"24,55";"19,85";"44,54";"57,21";"52,39"
"130240 LABREA";"111,04";"80,65";"49,45";"56,87";"70,96";"77,03";"78,22";"74,99";"35,79";"87,78";"72,07";"82,10";"88,07";"63,73";"86,98";"71,85";"69,75";"69,98";"30,25";"78,20";"82,01";"12,50";"59,09";"43,11";"63,67";"58,84";"66,20"
"130250 MANACAPURU";"111,26";"46,12";"42,08";"41,86";"68,83";"55,57";"65,43";"93,82";"34,90";"85,12";"50,67";"65,87";"61,36";"60,63";"98,04";"61,23";"52,36";"79,74";"28,05";"54,48";"83,18";"19,22";"44,46";"35,33";"69,52";"72,26";"70,32"
"130255 MANAQUIRI";"65,68";"44,91";"60,02";"79,72";"74,71";"99,96";"101,39";"82,46";"32,44";"82,88";"82,22";"103,12";"104,45";"96,70";"107,68";"77,86";"67,03";"73,45";"18,68";"98,49";"61,86";"12,84";"35,13";"44,23";"79,67";"61,75";"66,69"
"130260 MANAUS";"119,16";"90,50";"57,71";"68,15";"77,23";"75,94";"77,47";"87,29";"74,79";"86,60";"65,19";"78,21";"81,09";"74,51";"89,63";"72,96";"60,86";"78,54";"42,30";"67,76";"87,46";"22,54";"46,87";"46,77";"66,98";"73,40";"75,36"
"130270 MANICORE";"85,91";"70,48";"43,47";"53,41";"60,45";"63,15";"70,62";"69,06";"36,12";"60,44";"63,06";"74,54";"75,68";"68,79";"78,34";"58,23";"47,18";"63,52";"21,80";"60,84";"44,89";"12,72";"54,63";"49,13";"62,44";"68,87";"64,27"
"130280 MARAA";"72,93";"51,08";"27,77";"46,13";"43,22";"57,63";"58,94";"51,24";"49,05";"52,74";"56,86";"61,45";"68,39";"55,99";"73,55";"48,51";"46,95";"40,67";"28,44";"58,21";"26,39";"7,38";"31,43";"38,09";"46,27";"55,50";"51,67"
"130290 MAUES";"95,54";"51,41";"38,48";"42,59";"66,88";"56,95";"57,58";"65,22";"29,88";"64,46";"48,40";"66,79";"64,70";"47,03";"70,61";"52,52";"50,86";"68,80";"22,51";"54,09";"60,56";"19,95";"35,36";"34,09";"60,72";"63,40";"60,48"
"130300 NHAMUNDA";"99,44";"60,60";"49,06";"54,42";"73,47";"71,95";"74,24";"92,23";"51,84";"73,74";"70,45";"89,66";"91,65";"82,29";"90,70";"83,48";"76,13";"77,46";"33,25";"77,72";"56,83";"18,21";"56,97";"44,21";"82,74";"73,80";"73,21"
"130310 NOVA OLINDA DO NORTE";"127,90";"96,54";"46,22";"43,73";"68,07";"66,31";"59,71";"88,48";"19,66";"67,93";"58,58";"59,21";"61,82";"56,58";"71,81";"54,56";"54,06";"79,27";"18,68";"59,41";"77,39";"26,81";"26,14";"22,50";"66,58";"62,74";"64,58"
"130320 NOVO AIRAO";"75,69";"41,07";"40,75";"44,94";"61,06";"67,81";"62,95";"67,12";"24,94";"56,64";"55,41";"63,78";"68,59";"55,89";"82,52";"56,73";"54,59";"55,04";"27,55";"60,50";"46,54";"13,65";"46,33";"33,16";"56,21";"64,70";"59,78"
"130330 NOVO ARIPUANA";"96,94";"51,98";"39,92";"40,82";"59,45";"57,53";"54,17";"64,44";"20,50";"55,74";"51,38";"42,03";"63,28";"45,65";"71,24";"53,30";"47,88";"62,65";"17,65";"58,35";"56,11";"12,37";"36,26";"18,49";"56,65";"54,11";"54,53"
"130340 PARINTINS";"106,94";"87,76";"52,70";"49,20";"76,87";"75,90";"73,46";"87,35";"43,28";"76,47";"57,52";"75,69";"78,24";"73,85";"87,69";"61,20";"55,08";"81,25";"28,45";"73,96";"61,83";"13,76";"48,47";"42,69";"75,87";"74,84";"72,98"
"130350 PAUINI";"92,86";"47,46";"35,49";"41,02";"54,86";"56,02";"50,65";"55,04";"13,61";"56,52";"49,33";"56,55";"61,36";"36,63";"78,47";"44,45";"37,66";"56,87";"13,75";"42,51";"46,85";"14,54";"37,31";"27,17";"51,99";"57,23";"54,14"
"130353 PRESIDENTE FIGUEIREDO";"86,07";"51,70";"67,22";"66,06";"91,56";"90,12";"89,68";"99,90";"55,75";"93,10";"71,44";"92,22";"98,47";"82,65";"107,37";"74,54";"69,06";"93,56";"38,00";"88,56";"86,76";"24,31";"54,32";"50,80";"79,53";"80,09";"80,69"
"130356 RIO PRETO DA EVA";"67,91";"41,82";"68,65";"69,05";"88,60";"84,06";"92,21";"108,94";"33,95";"87,74";"70,34";"96,06";"97,53";"85,49";"90,25";"76,37";"64,04";"97,96";"28,13";"73,81";"62,83";"22,35";"35,47";"49,46";"90,89";"65,73";"71,70"
"130360 SANTA ISABEL DO RIO NEGRO";"93,86";"56,07";"46,58";"53,13";"65,77";"79,54";"70,99";"72,24";"47,16";"68,49";"78,88";"88,10";"89,56";"85,89";"83,36";"72,73";"70,68";"62,02";"21,42";"81,28";"60,61";"18,45";"61,55";"61,20";"59,81";"53,04";"60,63"
"130370 SANTO ANTONIO DO ICA";"93,41";"71,26";"43,56";"57,35";"65,10";"87,55";"82,53";"74,60";"74,10";"65,34";"75,72";"92,91";"101,95";"89,98";"78,01";"70,14";"62,27";"66,74";"39,81";"89,76";"34,82";"10,65";"40,68";"38,12";"59,03";"54,72";"61,70"
"130380 SAO GABRIEL DA CACHOEIRA";"105,97";"65,59";"41,28";"51,51";"64,95";"67,77";"67,57";"68,11";"78,38";"68,85";"63,26";"71,44";"75,51";"66,20";"80,79";"69,23";"61,51";"61,29";"41,98";"65,97";"64,19";"20,44";"57,62";"54,39";"56,95";"54,83";"61,38"
"130390 SAO PAULO DE OLIVENCA";"100,19";"59,42";"47,30";"59,52";"63,51";"75,01";"74,82";"71,84";"57,86";"73,90";"65,23";"86,60";"88,04";"73,06";"83,55";"77,45";"73,84";"63,33";"33,58";"75,30";"55,34";"9,97";"58,89";"46,31";"54,47";"57,35";"63,42"
"130395 SAO SEBASTIAO DO UATUMA";"72,70";"44,90";"53,89";"59,44";"73,31";"76,20";"82,60";"113,85";"8,46";"68,70";"62,29";"75,62";"82,16";"56,80";"78,54";"51,57";"46,93";"81,95";"12,28";"74,51";"79,97";"12,91";"33,89";"24,40";"73,85";"71,72";"69,32"
"130400 SILVES";"80,46";"60,25";"63,25";"65,76";"86,06";"89,36";"91,64";"92,56";"78,72";"76,71";"79,33";"101,59";"103,96";"87,48";"97,37";"99,82";"78,96";"85,10";"45,13";"100,95";"61,04";"21,79";"71,13";"65,02";"76,03";"77,23";"78,47"
"130406 TABATINGA";"106,74";"89,38";"60,37";"64,52";"79,00";"84,41";"82,48";"86,57";"82,47";"82,66";"73,95";"87,49";"89,87";"84,21";"90,82";"79,18";"67,68";"74,36";"51,43";"82,07";"70,69";"16,45";"56,85";"55,11";"66,92";"75,21";"76,66"
"130410 TAPAUA";"91,03";"66,54";"40,80";"49,96";"60,58";"66,48";"72,41";"67,96";"44,10";"87,97";"64,86";"86,27";"84,35";"67,96";"80,40";"67,48";"60,16";"57,05";"32,18";"71,18";"91,94";"21,17";"47,58";"44,44";"58,42";"70,65";"68,10"
"130420 TEFE";"106,45";"90,16";"51,00";"58,48";"70,71";"89,63";"89,64";"77,35";"54,66";"75,85";"83,37";"94,44";"93,98";"67,66";"88,22";"83,42";"71,93";"67,61";"38,91";"76,70";"55,53";"17,09";"54,21";"57,45";"58,41";"72,86";"72,70"
"130423 TONANTINS";"82,94";"68,99";"40,50";"56,45";"64,93";"82,02";"79,03";"68,67";"38,84";"65,34";"60,39";"82,48";"85,58";"81,57";"86,86";"67,02";"64,07";"62,08";"30,79";"83,42";"37,04";"10,38";"49,73";"48,02";"55,84";"52,66";"58,35"
"130426 UARINI";"74,91";"48,45";"34,01";"44,57";"62,39";"70,17";"68,77";"68,99";"28,90";"66,06";"52,39";"78,00";"77,88";"77,35";"82,38";"52,63";"44,12";"63,71";"21,83";"69,94";"35,51";"10,50";"27,82";"23,24";"69,44";"56,95";"57,61"
"130430 URUCARA";"102,50";"84,39";"56,22";"59,52";"84,37";"89,43";"90,13";"93,47";"40,85";"82,97";"75,89";"97,23";"96,49";"84,19";"90,38";"84,27";"81,48";"83,58";"25,80";"91,91";"77,69";"21,52";"46,45";"39,05";"69,00";"64,70";"71,22"
"130440 URUCURITUBA";"95,93";"57,64";"53,17";"50,45";"65,92";"71,57";"67,73";"76,94";"37,97";"68,64";"70,60";"76,12";"84,17";"66,06";"81,26";"64,23";"63,73";"65,18";"32,62";"76,19";"58,58";"9,32";"41,55";"50,76";"70,98";"69,13";"67,25"
"140002 AMAJARI";"79,97";"40,16";"41,78";"48,74";"71,28";"68,24";"61,38";"70,09";"29,77";"68,50";"64,10";"63,73";"67,80";"65,46";"85,85";"69,72";"69,58";"71,28";"21,37";"68,67";"57,29";"14,97";"18,52";"27,93";"62,95";"76,47";"67,10"
"140005 ALTO ALEGRE";"75,14";"32,74";"41,90";"45,98";"67,20";"63,29";"63,63";"72,01";"42,18";"72,54";"57,33";"64,99";"68,02";"63,40";"86,20";"59,89";"59,94";"69,88";"26,39";"62,37";"58,91";"19,12";"23,86";"20,88";"63,02";"69,32";"63,97"
"140010 BOA VISTA";"132,53";"108,61";"61,53";"76,69";"84,70";"77,69";"85,12";"96,14";"75,67";"86,44";"65,46";"73,10";"84,79";"79,82";"88,26";"76,46";"65,73";"89,26";"41,69";"75,34";"98,86";"31,21";"51,58";"46,96";"71,23";"75,51";"79,54"
"140015 BONFIM";"78,73";"55,92";"76,70";"54,80";"68,26";"89,11";"81,09";"72,64";"115,08";"71,27";"87,92";"85,50";"84,07";"105,97";"104,27";"74,99";"66,70";"63,41";"68,10";"95,53";"49,43";"13,03";"35,41";"39,49";"57,92";"78,64";"75,02"
"140017 CANTA";"64,53";"40,35";"37,45";"35,54";"47,59";"43,90";"52,74";"51,59";"34,56";"51,31";"43,98";"49,83";"49,72";"43,95";"60,86";"45,61";"42,50";"51,41";"21,81";"46,06";"39,20";"11,85";"19,35";"20,94";"46,63";"75,85";"57,89"
"140020 CARACARAI";"84,71";"31,74";"55,72";"53,26";"81,91";"74,95";"80,72";"88,33";"60,98";"81,14";"60,38";"77,41";"74,61";"67,88";"91,33";"68,05";"68,77";"83,62";"33,99";"69,77";"79,33";"22,01";"39,14";"53,86";"67,59";"88,36";"78,51"
"140023 CAROEBE";"66,01";"41,52";"66,69";"59,29";"93,73";"92,82";"93,08";"98,71";"52,18";"95,86";"88,64";"99,34";"96,24";"91,08";"95,80";"106,27";"99,12";"92,66";"42,85";"96,17";"90,29";"45,19";"78,74";"55,15";"74,42";"85,60";"83,85"
"140028 IRACEMA";"64,61";"40,73";"56,36";"52,65";"78,68";"75,87";"76,97";"86,48";"40,17";"77,78";"71,39";"84,23";"90,97";"69,89";"84,92";"69,18";"70,23";"77,28";"23,84";"77,18";"70,38";"31,37";"43,24";"41,15";"65,25";"75,89";"71,40"
"140030 MUCAJAI";"68,97";"35,88";"62,75";"51,20";"78,49";"77,22";"75,13";"97,33";"53,81";"80,82";"69,86";"79,17";"81,79";"73,43";"88,06";"92,40";"87,16";"93,43";"38,24";"81,60";"95,26";"21,59";"33,14";"51,22";"70,93";"87,60";"79,51"
"140040 NORMANDIA";"81,98";"47,62";"43,46";"44,84";"63,61";"71,82";"70,02";"63,60";"44,20";"69,80";"59,33";"64,76";"61,58";"69,29";"80,37";"55,81";"57,90";"61,35";"34,69";"68,71";"60,37";"10,01";"23,07";"34,74";"57,30";"79,56";"66,96"
"140045 PACARAIMA";"98,43";"77,28";"59,26";"55,38";"86,90";"85,74";"77,41";"88,22";"52,99";"92,50";"101,19";"81,79";"78,56";"83,54";"117,34";"89,13";"90,90";"82,00";"35,83";"88,15";"84,78";"15,85";"47,63";"49,06";"70,83";"75,08";"78,18"
"140047 RORAINOPOLIS";"100,34";"83,46";"66,47";"60,11";"89,75";"79,42";"86,80";"95,45";"34,01";"84,04";"58,73";"81,44";"73,03";"74,16";"95,06";"70,08";"68,84";"94,45";"30,37";"70,18";"82,69";"25,84";"23,28";"28,07";"82,02";"83,93";"79,31"
"140050 SAO JOAO DA BALIZA";"72,69";"25,92";"67,59";"61,77";"83,29";"84,68";"72,81";"97,35";"53,17";"74,27";"52,33";"75,57";"89,97";"90,07";"90,79";"53,92";"49,63";"92,40";"29,47";"79,84";"116,78";"20,91";"46,19";"30,40";"80,82";"91,10";"81,35"
"140060 SAO LUIZ";"81,87";"42,93";"57,70";"53,88";"75,15";"82,47";"83,45";"88,86";"48,28";"77,02";"64,54";"76,36";"81,79";"85,87";"98,12";"72,83";"66,86";"84,49";"47,07";"80,43";"87,59";"19,72";"56,97";"50,68";"74,38";"87,63";"80,21"
"140070 UIRAMUTA";"96,80";"50,63";"37,81";"39,54";"64,95";"64,77";"60,41";"62,91";"69,38";"66,71";"60,03";"65,48";"64,86";"72,82";"87,32";"57,30";"54,98";"59,23";"44,78";"69,21";"62,35";"6,36";"17,81";"34,11";"49,15";"71,06";"64,07"
"150010 ABAETETUBA";"89,67";"46,60";"49,90";"44,00";"70,90";"63,23";"57,35";"88,40";"24,61";"63,43";"49,08";"62,25";"62,97";"58,81";"91,93";"48,91";"44,54";"77,78";"23,37";"54,62";"67,80";"20,27";"25,21";"16,34";"64,79";"79,28";"70,21"
"150013 ABEL FIGUEIREDO";"100,63";"75,17";"66,75";"59,68";"87,13";"83,30";"84,65";"100,85";"54,93";"80,22";"72,54";"93,67";"94,26";"84,62";"114,61";"82,47";"58,17";"96,76";"32,53";"87,34";"77,88";"24,78";"37,09";"45,23";"81,01";"87,36";"83,94"
"150020 ACARA";"85,78";"42,08";"38,62";"46,77";"65,17";"59,67";"63,33";"102,05";"37,92";"82,38";"49,26";"63,25";"66,17";"59,22";"90,09";"51,63";"45,07";"82,10";"27,04";"62,63";"72,16";"24,34";"31,90";"26,80";"68,83";"95,25";"79,14"
"150030 AFUA";"90,04";"52,94";"28,45";"26,27";"44,70";"35,14";"34,70";"67,51";"17,10";"48,73";"40,27";"32,90";"37,14";"36,10";"68,63";"31,73";"28,84";"53,62";"12,24";"35,29";"62,17";"13,65";"18,46";"29,39";"53,65";"84,98";"62,88"
"150034 AGUA AZUL DO NORTE";"101,85";"51,46";"46,69";"52,94";"85,76";"65,13";"73,65";"106,47";"7,69";"82,89";"44,95";"56,66";"59,94";"53,87";"127,47";"49,47";"44,46";"99,60";"6,90";"51,15";"62,75";"9,08";"24,60";"23,37";"112,06";"101,77";"88,02"
"150040 ALENQUER";"109,86";"67,02";"39,99";"33,92";"60,62";"49,62";"53,25";"71,39";"22,96";"55,33";"56,67";"72,60";"67,56";"56,26";"87,66";"59,56";"49,46";"71,30";"17,13";"51,67";"76,09";"14,41";"36,12";"31,48";"66,85";"78,10";"68,55"
"150050 ALMEIRIM";"114,53";"71,87";"54,25";"53,67";"69,88";"66,14";"68,40";"76,25";"46,71";"70,39";"58,43";"72,66";"75,36";"59,49";"97,24";"67,13";"58,33";"78,93";"29,30";"63,64";"67,93";"24,46";"30,82";"19,45";"77,34";"84,77";"76,12"
"150060 ALTAMIRA";"143,53";"84,14";"58,96";"55,60";"81,63";"74,07";"73,25";"88,97";"50,05";"80,24";"61,07";"69,05";"72,73";"61,36";"99,49";"64,71";"51,45";"89,17";"31,74";"63,70";"90,56";"35,06";"29,12";"24,14";"77,93";"79,95";"77,93"
"150070 ANAJAS";"90,24";"51,93";"51,47";"48,34";"59,22";"61,30";"62,80";"76,05";"42,45";"58,64";"59,20";"66,01";"62,84";"58,96";"92,90";"54,76";"46,80";"69,82";"23,71";"50,09";"51,82";"17,43";"42,20";"39,36";"65,96";"83,83";"70,28"
"150080 ANANINDEUA";"95,05";"39,35";"41,23";"34,05";"59,11";"46,66";"49,29";"81,13";"20,76";"80,77";"33,74";"47,87";"49,70";"44,51";"82,97";"38,18";"34,87";"76,77";"16,41";"45,43";"92,13";"41,80";"25,43";"14,13";"59,31";"87,26";"71,78"
"150085 ANAPU";"90,03";"73,06";"61,79";"63,90";"90,54";"83,92";"84,85";"90,76";"52,93";"79,14";"75,15";"93,04";"97,35";"88,71";"104,07";"75,32";"60,97";"78,04";"43,76";"77,18";"169,94";"13,37";"46,76";"47,59";"73,63";"79,39";"78,85"
"150090 AUGUSTO CORREA";"93,26";"44,66";"37,84";"41,75";"65,42";"53,40";"54,43";"86,46";"30,28";"64,46";"46,79";"61,08";"63,27";"55,43";"87,62";"46,40";"32,17";"63,17";"25,75";"57,16";"81,37";"14,41";"33,22";"19,50";"66,33";"80,20";"68,71"
"150095 AURORA DO PARA";"107,63";"56,54";"43,67";"45,61";"79,30";"64,76";"59,53";"93,24";"32,42";"80,81";"54,37";"65,44";"62,59";"65,63";"111,45";"53,97";"49,46";"87,86";"17,57";"65,72";"71,70";"17,16";"29,04";"23,55";"84,71";"94,19";"81,37"
"150100 AVEIRO";"86,10";"76,48";"37,75";"50,97";"55,95";"84,39";"76,80";"67,86";"36,53";"52,63";"76,60";"86,95";"95,44";"89,66";"87,64";"98,71";"88,78";"60,50";"24,25";"98,71";"50,83";"9,07";"36,49";"25,59";"61,65";"77,46";"69,42"
"150110 BAGRE";"87,50";"28,83";"46,98";"42,14";"60,02";"55,31";"59,03";"68,61";"18,73";"58,70";"46,83";"51,02";"54,06";"47,37";"90,65";"40,80";"38,08";"64,77";"15,88";"53,04";"74,29";"10,44";"39,51";"33,37";"66,92";"82,94";"67,05"
"150120 BAIAO";"100,07";"72,45";"58,00";"54,44";"72,58";"72,51";"71,70";"84,73";"30,46";"69,88";"56,22";"72,43";"76,31";"60,88";"92,30";"69,51";"55,54";"77,11";"19,25";"60,67";"74,67";"21,31";"49,14";"45,85";"73,08";"80,69";"73,79"
"150125 BANNACH";"108,53";"95,57";"66,22";"82,21";"125,95";"115,83";"114,07";"144,30";"35,69";"116,92";"97,66";"111,98";"109,11";"105,21";"119,66";"90,10";"82,03";"124,81";"33,04";"99,74";"69,57";"40,45";"24,32";"32,97";"113,52";"95,56";"97,99"
"150130 BARCARENA";"101,35";"64,64";"63,70";"56,42";"77,65";"70,93";"77,16";"100,34";"39,22";"77,98";"64,01";"76,66";"81,18";"64,91";"95,79";"61,36";"54,67";"94,67";"31,62";"65,37";"95,91";"21,47";"35,26";"32,59";"82,54";"84,03";"78,51"
"150140 BELEM";"123,10";"73,92";"53,98";"66,27";"71,13";"59,27";"61,78";"84,76";"45,86";"76,41";"50,76";"63,33";"66,92";"58,64";"91,98";"50,32";"44,70";"82,04";"27,50";"53,19";"91,62";"27,65";"28,35";"23,52";"67,71";"76,91";"73,75"
"150145 BELTERRA";"104,43";"80,52";"63,36";"71,67";"89,83";"91,09";"99,86";"109,12";"30,89";"92,57";"83,24";"112,30";"111,83";"86,85";"116,56";"94,65";"85,15";"93,58";"33,95";"94,13";"68,64";"23,52";"34,38";"46,85";"88,90";"94,97";"89,96"
"150150 BENEVIDES";"85,72";"33,48";"53,08";"52,19";"73,23";"63,88";"65,12";"88,14";"24,56";"72,61";"44,03";"55,18";"62,80";"55,87";"91,42";"48,26";"42,95";"94,37";"14,67";"56,51";"100,41";"24,22";"32,09";"18,68";"73,82";"81,59";"72,52"
"150157 BOM JESUS DO TOCANTINS";"108,65";"68,99";"54,93";"52,31";"84,53";"78,85";"80,44";"100,44";"45,12";"76,56";"59,73";"77,65";"84,62";"79,38";"110,34";"74,85";"57,98";"94,13";"28,98";"75,71";"77,70";"22,32";"34,76";"35,86";"87,95";"85,16";"81,13"
"150160 BONITO";"100,64";"58,88";"49,89";"50,60";"78,29";"76,00";"66,86";"115,07";"15,48";"74,51";"59,59";"74,55";"76,82";"50,60";"111,89";"63,59";"44,10";"96,10";"21,48";"75,69";"99,89";"13,99";"35,31";"23,56";"78,46";"93,16";"82,30"
"150170 BRAGANCA";"135,85";"101,97";"48,29";"43,59";"62,80";"52,39";"61,40";"92,33";"28,66";"62,23";"48,79";"61,57";"62,74";"70,80";"90,39";"54,06";"43,23";"75,67";"22,79";"54,54";"83,64";"13,08";"39,66";"29,60";"64,55";"82,68";"74,49"
"150172 BRASIL NOVO";"91,70";"72,59";"63,36";"57,18";"86,19";"80,52";"85,18";"94,72";"46,24";"83,08";"64,45";"82,02";"82,74";"66,77";"112,84";"73,31";"60,37";"95,23";"39,77";"73,39";"72,51";"29,11";"31,23";"27,29";"91,37";"93,32";"85,09"
"150175 BREJO GRANDE DO ARAGUAIA";"97,26";"34,21";"52,98";"55,40";"81,73";"89,57";"81,87";"99,45";"43,92";"78,25";"74,53";"106,74";"101,37";"84,77";"110,81";"67,79";"58,93";"79,98";"33,49";"93,51";"74,76";"20,89";"23,75";"25,98";"74,26";"85,54";"80,49"
"150178 BREU BRANCO";"84,15";"70,06";"42,68";"42,15";"75,06";"56,98";"57,20";"86,54";"16,23";"67,82";"46,42";"61,98";"57,57";"50,47";"95,81";"43,62";"35,92";"81,88";"12,29";"39,12";"60,01";"26,11";"16,88";"16,97";"72,89";"80,61";"70,11"
"150180 BREVES";"123,80";"49,26";"41,52";"27,51";"69,44";"29,91";"36,48";"83,14";"12,58";"72,16";"25,64";"29,29";"28,46";"22,60";"103,60";"25,80";"20,85";"77,61";"16,53";"24,10";"81,24";"20,06";"16,60";"9,94";"75,51";"90,88";"71,59"
"150190 BUJARU";"94,33";"42,63";"55,87";"55,05";"81,66";"77,54";"77,45";"96,00";"43,34";"87,85";"61,45";"73,56";"73,18";"69,29";"98,83";"64,66";"56,63";"86,45";"28,89";"75,47";"73,82";"29,43";"33,04";"22,56";"77,62";"82,56";"77,49"
"150195 CACHOEIRA DO PIRIA";"92,61";"32,21";"28,65";"37,13";"67,13";"47,55";"46,78";"101,13";"3,95";"69,98";"32,78";"45,20";"44,19";"42,86";"99,71";"39,60";"34,26";"71,85";"8,72";"47,21";"59,15";"11,79";"23,85";"23,70";"73,20";"92,75";"72,41"
